course_id,course_title,description,prerequisites,course_offering,credits
ANT 411,"**Culture, Illness and Healing**","While all human beings endure forms of illness and suffering throughout life, how individuals understand and approach
this experience varies widely across cultures, religions, national contexts, and medical paradigms. Through case-studies
based in the U.S. and globally, this combined upper-level/grad seminar grapples with concepts of physical, mental and
spiritual illness and suffering and investigates the diverse methods, religious cosmologies, and medical paradigms
various communities invoke to assuage distress.
Course Typically Offered: Fall and Spring
Credits: 3",None,Fall and Spring,3
ANT 426,**Native American Folklore**,"An overview of folklore and folklife covering various genres of traditional expressive culture.
Course Typically Offered: Fall
Credits: 3",None,Fall,3
ANT 430,**Who Owns Native Cultures?**,"The answer to the simple question of who owns Native American / American Indian / indigenous cultures and cultural
productions is surprisingly complex and engages the history of anthropology and the nature of anthropological
knowledge itself. Course examines the evolving relationships between anthropologists, historians, and other researchers
with indigenous peoples (in particular American Indians) and what kinds of ethical and legal relationships have evolved
over time to address this question. Also looks at the ways in which contemporary cultural resource management by
indigenous peoples serves as a key articulation of indigenous nationhood and sovereignty. Special attention is given to
recent scholarship by indigenous researchers that decolonizes standard academic practices and roots the ownership of
Native cultures and research in Native communities.
Prerequisites: ANT 102 or NAS 101 or permission
Course Typically Offered: Alternate Years
Credits: 3",ANT 102 or NAS 101 or permission,Alternate Years,3
ANT 431,"**Folklore, the Environment and Public Policy**","Examines the interaction of humans with the environment from the perspective of folklore, and reviews its impact on
public policy at the local, state, federal and international level.
Course Typically Offered: Spring
Credits: 3",None,Spring,3
ANT 451,**Native American Cultures and Identities**,"In this seminar, we will examine Native American cultures and identities (past and present), with special attention to
reading works by Native authors and examining topics such as the effects of colonialism on Native Americans,
representations of Native Americans in popular culture, new biological technologies like DNA testing that shape
understandings of Native identities, the role of traditional cultures in Native communities, tribal sovereignty and
economic development in the twenty-first century, and indigenous environmental perspectives.
Prerequisites: ANT 102 or NAS 101 or permission.
Course Typically Offered: Variable
Credits: 3",ANT 102 or NAS 101 or permission.,Variable,3
ANT 464,**Ecological Anthropology**,"Comparative study of human populations in ecosystems. Topics include the adaptive nature of culture, implications of
the ecological approach for anthropological theory, sociocultural evolution and change, and contemporary problems.
Case studies from simple and complex societies. ANT 464 and 564 cannot both be taken for degree credit.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: ANT 102 or ANT 250 or Permission
Course Typically Offered: Fall
Credits: 3",ANT 102 or ANT 250 or Permission,Fall,3
ANT 476,**The Ancient Maya**,"Examines the origins and development of ancient Maya civilization beginning with precursors to Maya culture in the
first two millennia BC and ending with the final conquest of the last independent Maya kingdom in 1697. Among the
topics covered will be the rise of complex society in the Maya region, the history of individual Maya city-states and
rulers, social and political organization, art and religion, craft production and economy, commoner life, hieroglyphic
writing, human-environment dynamics, and the Classic Maya collapse.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: ANT 101 or ANT 170 or ANT 207 or Permission
Course Typically Offered: Alternate Years
Credits: 3",ANT 101 or ANT 170 or ANT 207 or Permission,Alternate Years,3
ANT 477,**Field Research in Archaeology**,"Introduction to archaeological field techniques through excavation of an archaeological site. Intensive training in site
survey, excavations techniques, recording, analysis and preliminary interpretation of archaeological materials. Generally
conducted on prehistoric and historic sites in Maine. Admission by application only.
Course note: may be repeated 9 completions with a total of 54 credits
Prerequisites: Permission.
Course Typically Offered: Summer
Credits: 2-6",Permission.,Summer,2-6
ANT 479,**Laboratory Techniques in Prehistoric Archaeology**,"Hands-on experience in lab techniques using real archaeological materials. Includes analysis, classification and
synthesis of the data. Lec 1, Lab 2.
Course Typically Offered: Alternate Years
Credits: 3",None,Alternate Years,3
ANT 490,**Topics in Anthropology**,"Advanced treatment of specialized problems in anthropology with emphasis on analysis in frontier areas of
anthropological research. Topics vary. May be repeated for credit if topics differ.
Core Curriculum/Core Requirements:
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ANT 493,**Anthropology Senior Seminar & Capstone Research Project**,"This senior research seminar is designed to give students an opportunity to draw on their academic experience and
explore a particular anthropological topic or debate of their choice. Throughout the course of the semester, students will
conduct research and work toward the completion of a research project. This project will allow students to gain valuable
hands-on experience designing, researching, writing, and presenting your work while building relationships with faculty
and peers. The course will allow students to engage in anthropological inquires and debates while honing skills in
communication, argumentation, and problem solving that will be useful beyond the classroom. Weekly discussions,
journal entries, a final project (submitted in stages), and a presentation will be used to assess student progress.
Core Curriculum/Core Requirements: Capstone and Writing Intensive
Prerequisites: Junior or Senior standing in the Anthropology or International Affairs (CCG concentration) or Human
Dimensions of Climate Change majors.
Course Typically Offered: Spring
Credits: 3",Junior or Senior standing in the Anthropology or International Affairs (CCG concentration) or Human,Spring,3
ANT 497,**Department Projects**,"A special project course. Specific content, scheduling and credit hours proposed by student in consultation with
instructor.
Course note: May be repeated 3 completions with a total of 3 credits.
Core Curriculum/Core Requirements:
Course Typically Offered: Fall, Spring, Summer
Credits: Ar
Art",None,"Fall, Spring, Summer",N/A
