course_id,course_title,description,prerequisites,course_offering,credits
GEO 275,**Geography of Globalization**,"Examines changing demographic, economic, political, and cultural connections across the globe over the past 500 years;
their representation through maps; and our current awareness of the globe and the Earth’s environment. (GEO 275 and",None,Unknown,N/A
GEO 311,**Geography of Climate Change**,"Introduces students to theories of environmental sustainability transitions and resource use in the context of climate
change.
Core Curriculum/Core Requirements:
Prerequisites: Any ANT or GEO course or permission
Course Typically Offered: Variable
Credits: 3",Any ANT or GEO course or permission,Variable,3
GEO 349,**Early Modern North America in Atlantic Perspective**,"Reflecting the increasing globalization of modern society, this course employs an Atlantic perspective to understand the
international history of early modern North America. Focuses on the geography of the European empires that shaped
North America, beginning with the Spanish and the French, and then focusing on the British and the revolt of the
American colonies. (GEO 349 and HTY 349 are identical courses.)
Course Typically Offered: Variable
Credits: 3",None,Variable,3
GER 101,**Elementary German I**,"The basics of the German language. Emphasis on developing reading, comprehension, speaking and writing skills. For
students with no previous study of German or fewer than two years in high school.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives
Course Typically Offered: Fall
Credits: 3",None,Fall,3
GER 102,**Elementary German II**,"Continued study of the basics of the German Language. Emphasis on developing reading, comprehension, speaking and
writing skills. For students with no previous study of German or fewer than two years in high school.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives
Prerequisites: GER 101 or equivalent.
Course Typically Offered: Spring
Credits: 3",GER 101 or equivalent.,Spring,3
GER 204,**Intermediate German II**,"A continuation of GER 203. Designed to strengthen reading, writing, speaking and comprehension skills.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives
Prerequisites: GER 203 or equivalent.
Course Typically Offered: Spring
Credits: 3
Hebrew",GER 203 or equivalent.,Spring,3
HBR 101,**Beginning Modern Hebrew**,"A systematic study of the basics of the Hebrew language. Equal emphasis is placed on developing reading, listening
comprehension, speaking and writing skills. For students with minimal or no previous knowledge of Modern Hebrew.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives
Course Typically Offered: Fall
Credits: 3",None,Fall,3
HTY 103,**Creating America to 1877**,"Examines interactions of the many peoples who created the United States. Topics include Native Americans, the
American Revolution, and Civil War, and how colonization, immigration, gender, race, politics, class, and geography
shaped the nation.
Core Curriculum/Core Requirements: Western Cultural Tradition and Social Contexts and Institutions
Course Typically Offered: Fall, Spring, Summer
Credits: 3",None,"Fall, Spring, Summer",3
HTY 104,**United States History Since 1877**,"A survey of main themes of U.S history from 1877 to the present. The course may include an emphasis on political,
social, economic, intellectual, and technological aspects of the Gilded Age, the Progressive Era, WWI, the interwar era,
WWII, the Cold War, and post-Cold War era.
Core Curriculum/Core Requirements: Western Cultural Tradition and Social Contexts and Institutions
Course Typically Offered: Fall, Spring, Summer
Credits: 3",None,"Fall, Spring, Summer",3
HTY 105,**History of Ancient and Medieval Europe**,"This survey explores the political, economic, social and intellectual developments in Europe from antiquity to 1715,
emphasizing those features which help to explain our present-day civilization.
Core Curriculum/Core Requirements: Western Cultural Tradition and Social Contexts and Institutions
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 107,**East Asian Civilization**,"A survey of China’s and Japan’s social, economic, cultural and political life from prehistoric times to the present.
Whenever applicable, Korea and Vietnam will be discussed. Emphasis on key periods in each country, especially changes
in the 19th and 20th centuries.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Fall
Credits: 3",None,Fall,3
HTY 108,**India: Identities and Changes**,"A survey of the social, economic, cultural and political life of India from prehistoric times to the present. Key periods,
especially since the later half of the 19th century, and main themes will be emphasized.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives and Social Contexts and
Institutions
Course Typically Offered: Spring
Credits: 3",None,Spring,3
HTY 110,**Introduction to Modern Latin America**,"Second of a two-part survey that introduces students to the major developments in Latin American history. Begins with
the struggle for independence in the early nineteenth century and ends with the shift to neoliberalism that occurred in
the late twentieth century. Thematically, the course will pay particular attention to the issues liberalism and
modernization, and how these ideological currents shaped race, class, and gender relations in Latin America.
Core Curriculum/Core Requirements: Western Cultural Tradition and Cultural Diversity and International
Perspectives
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 112,**Introduction to Africa**,"A survey of Africa’s social, economic and political history from 1800 to the present. Emphasis on African and European
interaction, pan-Africanist currents, and the national histories of Nigeria, South Africa, Congo and Ghana.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Credits: 3",None,Unknown,3
HTY 115,**World History to 1500**,"The first half of the world history sequence covers the time from the first emergence of Homo Sapiens to the
establishment of regular, ongoing, contact between the Americas, Europe, Africa, and Asia. This lengthy period saw the
biological development and worldwide dispersal of human beings, the emergence of agriculture, cities, writing,
organized religions, complex social organization and political institutions, and the creation of distinct cultural traditions.
The course features cultural interactions and comparisons. This course takes a western perspective to look at global
historic events.
Core Curriculum/Core Requirements: Western Cultural Tradition
Prerequisites: ENG 101
Course Typically Offered: Every Fall and Spring
Credits: 3",ENG 101,Every Fall and Spring,3
HTY 116,**World History since 1500**,"This course examines world history from the 16th century to the present. This much shorter period saw enormous
increases in trade, cultural, political and military interaction among all regions of the world. A major theme of this era is
colonialism, the rise of European state, economic, and cultural power, and the reactions of the non-Western world to
that power. This course takes a western perspective to look at global historic events.
Core Curriculum/Core Requirements: Western Cultural Tradition
Prerequisites: ENG 101
Course Typically Offered: Every Fall and Spring
Credits: 3",ENG 101,Every Fall and Spring,3
HTY 199,**Problems in History**,"An analysis of a selected controversial or contemporary historical problem. In some cases the specific topic and
methodology may be chosen jointly by interested students and an instructor.
Core Curriculum/Core Requirements:
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 202,**Medieval Civilization**,"What were the Middle Ages in the middle of? How did “medieval” become synonymous with “ignorant” and “barbaric”?
These questions will be on our minds as we survey European history from the late Roman Empire through the fifteenth
century, examining developments in political, religious, and cultural fields. Even as we aspire to cover huge swaths of
geography and history, we will also pause to investigate individual case studies and telling details. Eschewing caricature
and conventional wisdom, we will explore the many varieties of medieval civilization, emphasizing the complex lessons
and legacies that this period offers for the modern world.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives and Western Cultural
Tradition
Course Typically Offered: Fall
Credits: 3",None,Fall,3
HTY 210,**History of Maine**,"A survey of Maine’s social, economic, and political life, from primitive times to the present. After a brief study of Native
American life preceding white settlement, the periods of colonial, provincial, and state history are covered.
Core Curriculum/Core Requirements: Western Cultural Tradition and Social Contexts and Institutions
Course Typically Offered: Fall & Summer
Credits: 3",None,Fall & Summer,3
HTY 212,**Geography of Maine**,"This course provides a geographical perspective on the historical development of Maine over the last 500 years. The
course begins with European contact in the early 1500s, and then examines the evolution of Maine as a borderland
during the colonial period, the American settlement of Maine in the late eighteenth and early nineteenth centuries, the
growth of industrial manufacturing and tourism in the late nineteenth and early twentieth centuries, and the de-
industrialization and development of a service economy in Maine today. The course pays particular attention to
environmental, cultural, and cross-border issues. (GEO 212 and HTY 212 are identical courses.)
Core Curriculum/Core Requirements: Population and the Environment
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 213,**History of the Maine Woods**,"This course will survey the history of the Maine woods from postglacial times to the present. Topics include alterations in
the forest ecology, Native American and colonial settlement, and changing economic, industrial, and recreational uses of
the woods. The course will also explore the varieties of spiritual and literary interpretations ascribed to the forest
environment.
Core Curriculum/Core Requirements: Western Cultural Tradition and Population and Environment
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 220,**North American Indian History**,"An introductory history of North American Indians, from before European contact to the present. Within a broad
chronological framework, the course will look at critical themes in American Indian history; American Indians prior to
contact; cultural contact; treaty making, treaty rights, sovereignty; impact of government policies on Native populations;
and contemporary issues.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Spring
Credits: 3",None,Spring,3
HTY 221,**History and Comics**,"This course provides a concise introduction to the field of comics studies, and then relies on the comics medium to
acquaint students with some of the major topics and themes that are commonly encountered in the discipline of history.
Comics are highly accessible and foster active engagement, making it a powerful medium through which to experience
the discipline of history. In particular, we will be examining comics as historical documents, but also as a medium for
historical analysis. Students will develop the intellectual tools, as they relate to the field of comics studies, required to
interpret and criticize the content and meaning of a range of comics materials from the past and present. While it is
impossible to cover the whole of the discipline of history, students will be introduced to a wide and varied selection of
subject matter, including politics and political discourse, armed conflicts and mass atrocities, nature and the
environment, race and ethnicity, Indigenous peoples, labor and the working class, and gender.
Core Curriculum/Core Requirements: Western Cultural Tradition and Artistic and Creative Expression
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 232,**Womanhood in America**,"Examines the changing experiences of American women from colonial times to the present. Emphasis on what women
did and what they were told to do, the experiences of different groups of women, and the ways in which women worked
to change their situation.
Core Curriculum/Core Requirements: Western Cultural Tradition and Cultural Diversity and International
Perspectives
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 235,"**Heresy, Witchcraft, and Reform**","This course will examine the definition and repression of heresy and witchcraft in Europe from late antiquity through the
seventeenth century. Focusing on issues surrounding gender, belief, and otherness, we will spend time reading and
thinking about the meanings of religious dissent and orthodoxy in premodern contexts. Our investigation will center on
the ways in which efforts to reform the Church were closely connected to campaigns against its imagined internal
enemies.
Core Curriculum/Core Requirements: Western Cultural Tradition and Social Context and Institutions
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 241,"**History of Globalization, 1900-Present**","An introductory history of globalization. Explores the major political, economic, cultural and technological features of
the twentieth century that have helped to create today’s global society. Emphasizes global changes and their effects on
everyday life.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Spring
Credits: 3",None,Spring,3
HTY 261,**New England and Eastern Canada Since 1815: A Transnational**,"Region
This course examines the historical development of the geographical areas now referred to as New England and Eastern
Canada from 1815, the end of the Napoleonic Wars and the War of 1812, the last major Anglo-American conflict, to the
present. An emphasis will be placed on exploring New England and Eastern Canada as a transnational region in the
making, where there have been more historical similarities than differences in spite of the gradual hardening of borders
between countries, states, and provinces. The course will follow a rough chronology, and cover topics such as building
borders, political institutions, and identities, economic pursuits like agriculture, forestry, and fishing, sporting cultures,
women’s suffrage, civil rights, environmental movements, and indigenous resurgences.
Core Curriculum/Core Requirements: Population and Environment and Social Context and Institutions
Course Typically Offered: Alternating
Credits: 3",None,Alternating,3
HTY 275,**Geography of Globalization**,"Examines changing demographic, economic, political, and cultural connections across the globe over the past 500 years;
their representation through maps; and our current awareness of the globe and the Earth’s environment. (GEO 275 and",None,Unknown,N/A
HTY 278,**American Military History**,"America’s experience with warfare, from the colonial period through the Vietnam era. How American wars have been
fought, and the complex interrelationship between American society and the military, including economic, political and
social factors.
Core Curriculum/Core Requirements: Western Cultural Tradition and Social Contexts and Institutions
Course Typically Offered: Variable
Credits: 3",None,Variable,3
HTY 281,**Military History of Modern Asia**,"The course explores the origins and historical developments in the military and strategic history of the Asia Pacific
region. Students will begin by examining the regional strategic situation that existed in the aftermath of World War II in
East Asia. Students will then move on to consider the origins of the Cold war in East Asia, the Chinese and Japanese
Grand Strategy, and the modern history of the divided Korean nation. Students will also discuss the partition of British
India in 1974 and the making of two countries (India and Pakistan), the historical rivalry between India and Pakistan,
overt nuclearization in South Asia as well as evolving forces of nationalism and religious extremism in this region.
Students will also concentrate on the transformations of Indian democracy, and the rise and fall of dictatorships in
Pakistan. Students will be exposed to a wide variety of historical materials, including recently published historical works
in history and strategic studies, as well as films and documentaries to frame and understand Asia Pacific history.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives
Course Typically Offered: Alternating years
Credits: 3",None,Alternating years,3
HTY 310,"**Slavery, Politics, and Memory in American History**","This course follows a chronological path through the rise and development of African slavery in colonial North America,
the impact of the Revolution on systems of bondage and ideas about freedom, the development of these ideas in the
antebellum United States, antislavery and proslavery movements, the coming of emancipation during the Civil War, and
the legacy of slavery and redefinition of freedom during Reconstruction. It also focuses on how this history has been
remembered, commemorated, erased, and distorted to serve various present-day concerns.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives, Ethics
Prerequisites: Three credits of History or permission of instructor.
Course Typically Offered: Alternating
Credits: 3",Three credits of History or permission of instructor.,Alternating,3
HTY 312,"**Furs, Frontiers, and Fame: North American Exploration**","This course examines the identities, practices, and spaces of exploration in North America from the late fifteenth to the
twentieth centuries. Different political, economic, scientific, and cultural motives for the exploration of Canada and the
United States over time will be compared and contrasted. The experiences of Spanish, French, English, Russian,
American, and Canadian explorers and expeditions will be situated in local, national, imperial, and global contexts. The
course will broadly explore the themes of cross-cultural encounter, exploration and science, textual and visual
representation, and the public commemoration of explorers and exploration.
Prerequisites: Three credits of History or permission of instructor.
Course Typically Offered: Fall
Credits: 3",Three credits of History or permission of instructor.,Fall,3
HTY 330,"**Robber Barons, Reformers and Radicals 1877-1914**","Traces the transformation of the United States into a modern nation by exploring themes of industrialization,
urbanization, immigration, politics, and imperial outreach. Particularly focuses on the contest of power between so-
called “Robber Barons”, or industrial leaders, and the reformers and radicals who challenged their vision for the nation.
Prerequisites: Three credits of History or permission of instructor.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission of instructor.,Variable,3
HTY 349,**Early Modern North America in Atlantic Perspective**,"Reflecting the increasing globalization of modern society, this course employs an Atlantic perspective to understand the
international history of early modern North America. Focuses on the geography of the European empires that shaped
North America, beginning with the Spanish and the French, and then focusing on the British and the revolt of the
American colonies. (GEO 349 and HTY 349 are identical courses.)
Prerequisites: Three credits of History or permission of instructor.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission of instructor.,Variable,3
HTY 365,**The American Immigrant Experience**,"Writing Intensive course that examines the many kinds of immigrant experiences in the American colonies and the
United States from 1600 to the present day, drawing on first-person accounts and historians’ interpretations. Considers
the influence of age, sex, legal status, race, religion, occupation, and class, as well as whether immigrants came
voluntarily, as free persons, or by force, as slave labor.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: Three credits of History or permission of instructor.
Credits: 3",Three credits of History or permission of instructor.,Unknown,3
HTY 390,**A Sense of Place**,"A course offering students the opportunity to participate in a program emphasizing study and travel. Periodic trips have
been planned to American or European locales in order that participants gain a better understanding of historic events
and/or the people associated with these locales.
Prerequisites: 3 credits of history or permission of instructor
Course Typically Offered: Spring
Credits: 1-3",3 credits of history or permission of instructor,Spring,1-3
HTY 398,**Historical Issues**,"An exploration of selected contemporary historical issues not covered in existing courses. In some cases the specific topic
and methodology may be chosen jointly by interested students and an instructor.
Core Curriculum/Core Requirements:
Prerequisites: Three credits of History or permission.
Course Typically Offered: Fall, Spring, Summer
Credits: 1-3",Three credits of History or permission.,"Fall, Spring, Summer",1-3
HTY 403,**Early Middle Ages**,"Europe from late antiquity to about 950, considering the social, economic, political, and intellectual developments
during Merovingian and Carolingian times, emphasizing the early medieval agricultural revolution and reconstructing
the factors affecting the lives of ordinary people.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 404,**Late Middle Ages**,"Social, economic, political, and intellectual history of Europe from 950 to the Renaissance, focusing on the medieval
frontier period and the late medieval era of environmental crisis and economic contraction.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 407,"**The Age of Monarchs and Revolution: Europe, 1648-1815**","Covers the later part of Early Modern European history and the early years of modern Europe: 1648-1815. Discusses the
concepts and significant social and political events and issues, such as absolutist monarchies, feudalism, nobility, the
Church, peasantry, the Enlightenment, nationalism, liberalism, the French Revolution, and the Napoleonic Empire.
Prerequisites: Three credits of History or permission.
Corequisites: Not Regularly Offered
Course Typically Offered: Fall
Credits: 3",Three credits of History or permission.,Fall,3
HTY 409,**European Society and Culture in the Age of Total War**,"Europe in the age of the two world wars, focusing on the causes and consequences of the wars themselves, concurrent
political and social problems, and the intellectual and cultural contexts.
Prerequisites: Three credits of History or permission of instructor.
Course Typically Offered: Not Regularly Offered
Credits: 3",Three credits of History or permission of instructor.,Not Regularly Offered,3
HTY 411,**The Holocaust**,"The Nazi persecution and extermination of European Jews (1933-1945) including the exploration of modern anti-
Semitism, Nazi ideology, the persecution of German Jews after 1933, and the extermination of six million European
Jews in Nazi occupied Europe during the Second World War.
Prerequisites: Three Credits of History or permission.
Course Typically Offered: Fall
Credits: 3",Three Credits of History or permission.,Fall,3
HTY 427,**Vikings!**,"Marauding barbarians with a lust for blood and plunder, the Vikings retain their grip on the popular imagination. To
what extent are our images of the medieval Norse grounded in historical reality? This course will begin by asking what
archaeological finds, runestones, skaldic poetry, and foreign chroniclers can tell us about the people of Viking Age
Scandinavia. We will then explore how different societies and cultural groups have shaped and reshaped images of the
Vikings to suit different agendas. Our investigation will range from thirteenth-century Iceland, where medieval Christian
writers composed vernacular sagas about pagan heroes, to contemporary America, where Viking imagery appears on
everything from football helmets to comic books.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 433,**Greek and Roman Mythology**,"The study of classical myths as the poetic expression of the Greek and Roman spirit, as the depiction of everything
considered sacred, and as the embodiment of the basic patterns of the human psyche. Discusses the major theories of
myth. Uses modern psychology and anthropology to show how the myths reveal secrets of our emotional, intellectual,
and spiritual lives.
Core Curriculum/Core Requirements:
Prerequisites: Three credits in History or instructor permission.
Course Typically Offered: Variable
Credits: 3",Three credits in History or instructor permission.,Variable,3
HTY 437,**History of Modern Japan**,"Survey of social, economic, cultural and political development in Japan from the last period of feudalism to the present
day. Social and political structures, value changes, the rise of militarism and fascism, the effects of the Pacific War,
popular movements, modernization problems and progress, and relations with the United States and the rest of the
world will be discussed.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 442,**The United States and Vietnam: A History**,"Focuses on key periods in the historical development of the United States and Vietnam and trace the history of their
relations since the beginning of World War II. The economic, social, political, ideological, and cultural origins of the
conflict, the conduct of the war and the aftermath in Vietnam, East Asia, and the United States will be examined.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 449,**History of South Africa**,"Examines the political, economic, and social history of South Africa from 1652 to the present. Emphasis on race relations
from the establishment of the Cape Colony to the fall of Apartheid. Explores European colonization, the formation of the
Zulu Empire, the South African War, and the birth of the New South Africa.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Alternate Years
Credits: 3",Three credits of History or permission.,Alternate Years,3
HTY 450,**History of the British Empire**,"Examines the history of the British Empire from the late 15th century to the end of the 20th century. Emphasis on the
19th century, especially the period of rapid growth c. 1875-1914, in Africa and Asia.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Not Regularly Offered
Credits: 3",Three credits of History or permission.,Not Regularly Offered,3
HTY 456,**History of Modern Britain**,"The political, socio-economic, and constitutional aspects of British history from 1700 to the present, emphasizing
economic growth and the development of democracy.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Not Regularly Offered
Credits: 3",Three credits of History or permission.,Not Regularly Offered,3
HTY 460,**Modern Canada**,"Canada’s history from Confederation to the present, emphasizing political, social, and economic developments and
Canada’s relations with the United States.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 461,**Colonial British America to 1763**,"Examines the founding and development of English-speaking colonies in the New World. Themes include the trans-
Atlantic context of colonization, Native Americans, the growth of slavery, and religious and regional variation in colonial
America.
Core Curriculum/Core Requirements: writing Intensive
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 463,"**The Early Republic, 1789-1840**","Explores the shaping of American society by people and events between the years 1789-1840. While paying due
attention to political and economic changes during this period, the focus will be on the lives and experiences of ordinary
people: their families, work, homelife, communities, attitudes and expectations.
Prerequisites: Three credits in History or instructor permission.
Course Typically Offered: Variable
Credits: 3",Three credits in History or instructor permission.,Variable,3
HTY 464,**America at the Crossroads: The Era of Civil War Reconstruction**,"1840-1876
Problems and processes involved in territorial expansion, economic growth, the slavery issue, civil war, and the
reconstruction of American society.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Not Regularly Offered
Credits: 3",Three credits of History or permission.,Not Regularly Offered,3
HTY 465,**American Landscapes**,"Investigates the shaping of American landscapes and interpretation of those landscapes in history, fiction and art. In
particular, the course explores the ways in which Americans used idealizations of the physical environment to define
certain cultural attributes and to explain social transformations.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Not Regularly Offered
Credits: 3",Three credits of History or permission.,Not Regularly Offered,3
HTY 468,**America Since 1945**,"Changes in American politics, economics, society, and culture including the Cold War and McCarthyism, protest
movements of the 1960s, Watergate, the energy crisis and economic recession, affluence and poverty in the 1980s.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 475,**History of Modern Warfare**,"The course explores the historical developments in the evolution of modern warfare and military thought over the last
two centuries. Students will begin by examining the theoretical writings of classical military theorists and different
outstanding historical cases of military innovation in modern warfare. Later, students will consider many topical
segments from literature and films of major wars and will also examine the changing nature of war by analyzing new
war-fighting domains such as cyberwar and space as the final frontier. In this class, students will be engage in activities
designed to improve your reading, writing, and presentation skills. Students will also be provided an opportunity to
study these materials in-depth and will be encouraged to conduct research on your own. By the end of the course,
students will be able to analyze the evolution of modern war across the different military domains over the last two
centuries.
Course Typically Offered: Alternating Years
Credits: 3",None,Alternating Years,3
HTY 477,**The American Worker**,"Examines changes in the world of work during successive phases of capitalist development since the Revolutionary War.
Focus on skilled and unskilled labor; the evolving factory system; public policies and effects of technological change;
ethnicity, race, and gender on worker responses. Assesses contemporary workplace issues from an historical perspective.
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 479,**North American Environmental History**,"Environmental history is the study of past interactions between humans and nature, and this course examines
environmental historical processes across the North American continent over time. While it is impossible to cover the
entirety of North America’s environmental past, in-depth explorations of various major themes, including biological
exchanges, water and waterways, urbanization and industrialization, and energy production, will thoroughly introduce
students to a wide variety of subject matter.
Core Curriculum/Core Requirements: Ethics and Population and the Environment
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 481,**Amerindians of the Northeast: A History**,"Considers Amerindian history from a regional perspective, with emphasis on intersocietal and interethnic relations
between the 16th and 19th centuries. It encompasses the Algonquian and Iroquoian speaking peoples from the Atlantic
seaboard to the upper Great Lakes and from the Ohio Valley to the Hudson Bay.
Core Curriculum/Core Requirements:
Prerequisites: Three credits of History or permission.
Course Typically Offered: Variable
Credits: 3",Three credits of History or permission.,Variable,3
HTY 498,**Senior Seminar in History**,"Intensive reading, research, and writing under the close supervision of an instructor on a selected problem in American
or European history. Required of History majors.
Core Curriculum/Core Requirements: Writing Intensive and Capstone
Prerequisites: Restricted to history majors with senior standing.
Course Typically Offered: Fall & Spring
Credits: 3
Honors",Restricted to history majors with senior standing.,Fall & Spring,3
HON 112,"**Civilizations: Past, Present and Future II**","The second course in the Honors Civilizations sequence. (Offered in the Spring semester.)
Core Curriculum/Core Requirements: Completion of any of these courses (HON 111 , 112, 211 or 212) satisfies
either the General Education Western Cultural Tradition or the Cultural Diversity and International Perspectives
requirement. Completion of any two satisfies the Western Cultural Tradition, Cultural Diversity and International
Perspectives, and Ethics requirements. Completion of three satisfies the Western Cultural Tradition, Cultural Diversity
and International Perspectives, Social Context and Institutions, and Ethics requirements. Completion of all four satisfies
the Ethics requirement and all areas of the Human Values and Social Context requirements for 16 of the total 18 credits
required in those areas. In addition, HON 211 and HON 212 each are designated Writing Intensive. Successful
completion of HON 111 and HON 112 with a grade of C or better in each, satisfies the University’s basic composition
requirement (ENG 101.)
Prerequisites: Enrollment in the Honors College
Course Typically Offered: Spring
Credits: 4",Enrollment in the Honors College,Spring,4
HON 155,**Genome Discovery II: From DNA to Genes**,"Provides laboratory experience working on DNA sequence from a bacteriophage isolated during the previous semester.
Topics include bioinformatics, genome annotation, open reading frame and RNA identification, BLAST analysis,
phylogenetics and submission to a genomic database. In addition students will gain skills in designing and running
computational experiments, reading the scientific literature, writing scientific papers, and making oral presentations.
(HON 155 and BMB 155 are identical courses)
Core Curriculum/Core Requirements:
Prerequisites: HON 150
Course Typically Offered: Spring
Credits: 3",HON 150,Spring,3
HON 170,**Currents and Context**,"An opportunity for students to develop and enhance their awareness and understanding of events throughout the region,
the country, and the world as well as to improve dialogue about these. In doing so, students will employ up-to-date
information sources to explore issues including, but not limited to cultural conflicts; the roles of intergovernmental and
nongovernmental organizations (IGOs and NGOs); the three branches of American government; the economy; the
environment; and political debates of global, regional, and local concern. May be repeated once for credit.
Core Curriculum/Core Requirements: Social Contexts and Institutions
Prerequisites: Enrollment in the Honors College or permission.
Course Typically Offered: Fall & Spring
Credits: 1",Enrollment in the Honors College or permission.,Fall & Spring,1
HON 180,**A Cultural Odyssey**,"An opportunity for students to extend their cultural education in the context of opportunities available at the University
of Maine and in the surrounding area. Various arts events including dance, music, theatre, poetry, and visual art will be
explored and analyzed. May be repeated once for credit. Required for all students in the Honors College.
Core Curriculum/Core Requirements: Artistic and Creative Expression
Prerequisites: Enrollment in the Honors College or permission.
Course Typically Offered: Fall & Spring
Credits: 1",Enrollment in the Honors College or permission.,Fall & Spring,1
HON 188,**Cultural Connections**,"An opportunity for students to explore cultural opportunities available at the University of Maine and in the surrounding
area. Students will attend and react to arts events including dance, music, theatre, poetry, and visual art. Required for
all students in the Honors College who do not complete HON 180.
Core Curriculum/Core Requirements:
Credits: 0",None,Unknown,0
HON 190,**Honors Summer Readings: Basic**,An individually arranged program of readings during the summer. For students wanting to supplement their work in,None,Unknown,N/A
HON 211,"**Civilizations: Past, Present and Future III**","The third course in the Honors Civilizations sequence. (Offered in the Fall semester.)
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: Enrollment in the Honors College
Course Typically Offered: Fall
Credits: 4",Enrollment in the Honors College,Fall,4
HON 212,"**Civilizations: Past, Present and Future IV**","The fourth course in the Honors Civilizations sequence. (Offered in the Spring semester.)
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: Enrollment in the Honors College
Course Typically Offered: Spring
Credits: 4",Enrollment in the Honors College,Spring,4
HON 290,**Honors Summer Readings: Intermediate**,"Guided summer readings and reports, individually adapted to the student’s program of study. For students wanting to
supplement their readings in HON 211 and HON 212.
Core Curriculum/Core Requirements:
Prerequisites: permission.
Course Typically Offered: Summer
Credits: 1",permission.,Summer,1
HON 308,**Visiting Scholar in Ethics Tutorial**,"An opportunity for students, through careful reading, thorough research, and measured discussion to determine the
John M. Rezendes Visiting Scholar in Ethics to be brought to campus for the following year. Students in the tutorial will
develop and refine criteria for the decision, analyze evidence presented about the candidates, deliberate using those
criteria, and correspond and negotiate with viable candidates to determine availability and suitability.
Core Curriculum/Core Requirements: Ethics
Prerequisites: Junior standing in Honors College with three first- or second-year Honors courses and permission.
Course Typically Offered: Not Regularly Offered
Credits: 3",Junior standing in Honors College with three first- or second-year Honors courses and permission.,Not Regularly Offered,3
HON 309,**The Honors Read Tutorial**,"An opportunity through careful reading, analytic and synthetic writing and extensive discussion, to select, from among
eight texts nominated by the University community, the “Honors Read” for incoming students in the Honors College a
year hence. The tutorial will include developing and refining criteria for the decision, analysis and reaction to the texts
incorporating those criteria and preparing a summative letter of transmittal to be included with the texts delivered to the
incoming students.
Core Curriculum/Core Requirements: Artistic and Creative Expression
Prerequisites: Enrollment in the Honors College
Course Typically Offered: Fall
Credits: 3",Enrollment in the Honors College,Fall,3
